frame,qerr21_max,qerr21_mean,qerr_leg_mean,root_pos_err_m,root_ori_err_deg,root_z,tilt_deg,n_contacts,resid_max,max_torque
65,0.340167,0.076794,0.130843,0.290853,13.8660,0.189614,12.324,3,0.328813,3.0000
66,0.333549,0.075210,0.128762,0.290020,13.4937,0.189818,12.181,3,0.323726,3.0000
67,0.337580,0.072441,0.124454,0.291093,13.0869,0.190484,12.654,3,0.325414,3.0000
68,0.326928,0.072709,0.125151,0.290619,12.4621,0.190771,12.343,3,0.317974,3.0000
69,0.334925,0.073275,0.126363,0.291120,12.2750,0.190523,12.743,3,0.323569,1.5221
70,0.323100,0.070746,0.122116,0.291550,12.3173,0.188764,12.113,3,0.315021,0.4717
71,0.327656,0.073698,0.127570,0.292032,13.7591,0.183724,12.521,3,0.330384,1.4092
72,0.330596,0.076535,0.131781,0.294299,14.5542,0.177599,11.466,3,0.335797,0.7843
73,0.363129,0.075009,0.127302,0.295329,14.5942,0.175006,9.369,4,0.344074,3.0000
74,0.340166,0.090068,0.153391,0.295355,12.9550,0.180973,8.553,2,0.338549,3.0000
75,0.365087,0.084974,0.139478,0.298809,11.1807,0.177413,9.641,4,0.315941,3.0000
76,0.319630,0.090807,0.143657,0.300531,13.4973,0.173692,13.304,4,0.322644,2.4221
77,0.306323,0.092850,0.143994,0.296481,11.3858,0.172954,11.804,3,0.306582,1.3588
78,0.304728,0.077064,0.119423,0.293979,11.3578,0.168238,13.012,3,0.303747,0.9703
79,0.293137,0.076517,0.124147,0.287788,11.9608,0.160427,12.797,4,0.273225,1.6257
80,0.263936,0.062809,0.104128,0.287680,12.4741,0.161007,12.623,4,0.262373,3.0000
81,0.268954,0.074433,0.126154,0.286481,12.8561,0.154814,12.455,4,0.246519,2.0999
82,0.244179,0.073643,0.126039,0.285863,12.4334,0.155223,12.142,4,0.253801,3.0000
83,0.230539,0.069234,0.119096,0.287799,11.7145,0.156388,12.253,4,0.237262,3.0000
84,0.255340,0.061663,0.105910,0.287884,10.8517,0.159442,10.789,3,0.262131,3.0000
85,0.233202,0.063316,0.108447,0.290632,10.3837,0.159118,11.408,4,0.234535,3.0000
86,0.233932,0.071398,0.121283,0.302931,8.6173,0.164232,10.610,4,0.233168,1.8323
87,0.272767,0.071510,0.120967,0.315593,7.2384,0.164708,8.812,3,0.297467,3.0000
88,0.227647,0.057623,0.093678,0.323719,7.0182,0.163354,10.969,3,0.226124,3.0000
89,0.285472,0.067083,0.103221,0.327631,7.4351,0.168396,8.645,3,0.319508,3.0000
90,0.231243,0.075517,0.121121,0.327249,9.0112,0.169881,11.197,1,0.285032,3.0000
91,0.242624,0.086196,0.129920,0.329473,7.5220,0.163315,10.267,3,0.348059,3.0000
92,0.292121,0.086778,0.129759,0.328341,7.7188,0.168555,10.147,3,0.290758,3.0000
93,0.308350,0.091312,0.142952,0.328164,6.5621,0.167615,8.575,1,0.303994,3.0000
94,0.281592,0.082313,0.134989,0.326778,6.0274,0.158536,7.020,3,0.302687,3.0000
95,0.214715,0.049810,0.079980,0.319859,5.8467,0.155979,4.301,4,0.246628,3.0000
96,0.250576,0.062741,0.102365,0.317968,7.7542,0.162971,5.435,2,0.239547,3.0000
97,0.186524,0.046079,0.072654,0.316407,8.6339,0.162626,5.076,2,0.206089,3.0000
98,0.200626,0.047281,0.075057,0.313601,9.8479,0.158050,5.359,3,0.226550,3.0000
99,0.189866,0.037434,0.059126,0.311415,9.7525,0.153959,4.785,3,0.180472,3.0000
100,0.173209,0.050260,0.081761,0.307086,11.2034,0.158614,4.375,2,0.180422,3.0000
101,0.163037,0.032670,0.052230,0.305952,12.1183,0.161838,4.530,3,0.158603,3.0000
