frame,qerr21_max,qerr21_mean,qerr_leg_mean,root_pos_err_m,root_ori_err_deg,root_z,tilt_deg,n_contacts,resid_max,max_torque
0,0.208165,0.044337,0.076312,0.002002,3.5816,0.088037,4.560,4,0.262809,3.0000
1,0.208842,0.055766,0.096564,0.004050,4.4384,0.086807,4.512,4,0.319104,3.0000
2,0.234436,0.052799,0.091341,0.005336,4.8700,0.087276,5.197,4,0.297366,3.0000
3,0.278915,0.059135,0.102280,0.006566,5.0003,0.086453,4.929,4,0.295403,3.0000
4,0.297781,0.058042,0.100315,0.006863,5.2060,0.087250,5.347,4,0.301624,3.0000
5,0.240087,0.056432,0.097612,0.007339,5.1697,0.086720,5.238,4,0.304446,3.0000
6,0.205720,0.052888,0.091461,0.006774,5.1979,0.087495,5.243,4,0.313519,3.0000
7,0.198098,0.062880,0.105643,0.006634,5.9497,0.090854,6.766,3,0.314269,3.0000
8,0.246163,0.060099,0.096334,0.008251,5.7646,0.097556,8.023,4,0.230506,4.4202
9,0.293612,0.072556,0.111043,0.010492,6.6223,0.106649,12.325,4,0.224874,3.0000
10,0.184294,0.065087,0.097618,0.020401,7.0423,0.116563,17.538,3,0.201383,3.1244
11,0.313097,0.108040,0.177777,0.043062,11.3043,0.131916,25.538,4,0.178091,3.0000
12,0.355324,0.092361,0.137055,0.069251,12.7859,0.151714,34.249,3,0.272473,3.0000
13,0.255067,0.082475,0.116609,0.069406,10.2580,0.161900,39.724,1,0.342795,3.0000
14,0.427022,0.083178,0.113242,0.068936,7.9941,0.159783,42.295,1,0.479511,3.0000
15,0.561208,0.105608,0.158427,0.070915,5.5677,0.152878,39.807,3,0.565098,3.0000
16,0.485879,0.112937,0.160925,0.076688,5.7624,0.155428,40.435,3,0.460468,3.0000
17,0.539780,0.100434,0.139751,0.080663,5.2508,0.155064,39.161,3,0.543919,3.0000
18,0.413908,0.089230,0.129250,0.086004,6.2651,0.157670,39.099,3,0.398643,2.3087
19,0.366217,0.087103,0.132929,0.086741,6.0053,0.160617,37.340,4,0.364867,3.0000
20,0.354118,0.092105,0.141435,0.090634,7.9235,0.161973,36.916,3,0.353615,3.0000
21,0.373801,0.090875,0.142245,0.091057,8.6954,0.164742,37.298,3,0.374646,0.8678
22,0.412159,0.085100,0.138372,0.088064,8.5642,0.163311,38.152,2,0.412858,2.4017
23,0.696666,0.134206,0.219758,0.085257,9.8899,0.154221,38.223,2,0.391774,3.0000
24,0.539675,0.115035,0.181779,0.078724,8.5229,0.144797,32.985,3,0.337437,5.5545
25,0.525143,0.137177,0.214381,0.073919,11.2120,0.142890,25.066,3,0.371030,3.0000
26,0.401519,0.105691,0.146887,0.059150,12.4091,0.154885,21.430,3,0.329195,3.0000
27,0.336376,0.105538,0.131209,0.043852,9.5685,0.157565,16.579,3,0.386202,3.0000
28,0.452881,0.142491,0.208938,0.040425,9.0179,0.157487,12.949,2,0.471816,3.0000
29,0.369445,0.118944,0.182070,0.038344,13.4651,0.166201,10.131,2,0.352316,3.0000
30,0.296399,0.087615,0.139775,0.050135,16.2098,0.174491,10.210,2,0.279920,3.0000
31,0.283632,0.079743,0.125297,0.077826,15.9469,0.184043,11.015,2,0.263276,3.0000
32,0.297465,0.100800,0.166682,0.128653,19.3819,0.183726,13.168,2,0.281781,3.0000
33,0.399324,0.106452,0.171571,0.187861,24.9570,0.172210,18.103,1,0.380287,3.0000
34,0.465578,0.119868,0.193109,0.224499,27.6080,0.160113,20.627,2,0.463805,3.0000
35,0.457312,0.129472,0.206901,0.244029,28.6715,0.151605,19.819,3,0.481430,3.0000
36,0.434941,0.110305,0.176873,0.251826,27.9515,0.155385,17.966,3,0.443273,3.0000
37,0.323461,0.076019,0.120539,0.257865,23.7445,0.164139,11.572,2,0.314184,3.0000
38,0.298884,0.073899,0.124449,0.260235,20.6898,0.161575,6.070,1,0.299477,3.0000
39,0.336222,0.077490,0.120980,0.263854,23.2639,0.153235,5.359,3,0.353841,3.0000
40,0.273237,0.088960,0.142579,0.265576,24.3734,0.155563,2.356,2,0.324240,3.0000
41,0.308075,0.103518,0.171688,0.265998,26.1947,0.160429,2.592,2,0.322681,2.3885
42,0.353547,0.100940,0.166658,0.263699,27.0277,0.158381,2.663,3,0.350772,3.0000
43,0.390025,0.101345,0.166696,0.260075,24.8764,0.162526,3.324,3,0.387143,2.0093
