frame,qerr21_max,qerr21_mean,qerr_leg_mean,root_pos_err_m,root_ori_err_deg,root_z,tilt_deg,n_contacts,resid_max,max_torque
65,0.316547,0.074143,0.126245,0.346571,7.5676,0.189612,11.974,3,0.305363,3.0000
66,0.315627,0.071808,0.122811,0.346764,7.0505,0.190218,12.117,3,0.303451,3.0000
67,0.312698,0.070289,0.120588,0.346507,6.5257,0.190524,12.366,3,0.302791,3.0000
68,0.312074,0.069973,0.120328,0.347175,6.2094,0.191189,12.294,3,0.299723,3.0000
69,0.307672,0.070558,0.121571,0.346874,6.1894,0.190548,12.403,3,0.297468,2.3684
70,0.305386,0.067553,0.116442,0.347550,6.0862,0.188768,12.221,3,0.297044,0.6444
71,0.304119,0.069403,0.119891,0.348174,7.0601,0.184044,12.104,3,0.306454,0.5146
72,0.307584,0.073912,0.127322,0.350331,8.4282,0.177579,11.755,3,0.311992,1.5634
73,0.328536,0.070613,0.119712,0.351601,9.5900,0.176203,9.167,4,0.312040,2.5885
74,0.352234,0.090774,0.154639,0.351950,8.5309,0.182547,9.288,2,0.370937,3.0000
75,0.367145,0.082549,0.135438,0.358166,6.3616,0.180250,10.144,2,0.299103,3.0000
76,0.272055,0.080465,0.126017,0.364879,8.9601,0.175829,12.591,3,0.268492,2.2131
77,0.339198,0.101822,0.160171,0.364454,11.6831,0.176515,13.703,2,0.272716,3.0000
78,0.297509,0.084011,0.131612,0.365531,12.1847,0.171592,13.061,2,0.291461,1.9405
79,0.291633,0.082463,0.133991,0.366141,13.7984,0.165405,13.972,2,0.283167,1.6837
80,0.309525,0.074140,0.123772,0.369240,15.5463,0.162351,13.634,2,0.272981,3.0000
81,0.236192,0.069462,0.117208,0.372970,16.9715,0.157875,13.886,4,0.226453,2.9629
82,0.232493,0.078391,0.134242,0.374092,16.9055,0.155877,12.721,4,0.237587,3.0000
83,0.248883,0.071456,0.122518,0.376669,16.3199,0.156083,12.889,4,0.242159,3.0000
84,0.281535,0.065477,0.112398,0.378495,15.5244,0.159267,11.608,3,0.265757,3.0000
85,0.252017,0.067401,0.115613,0.383304,14.7413,0.159209,11.475,4,0.254178,3.0000
86,0.247693,0.074012,0.125852,0.396658,12.8593,0.164256,10.987,4,0.246961,3.0000
87,0.284561,0.075573,0.128021,0.410382,11.1481,0.166248,9.298,3,0.310838,3.0000
88,0.250828,0.060753,0.099255,0.418876,10.2999,0.164056,11.036,3,0.248143,3.0000
89,0.287970,0.071790,0.111567,0.424288,10.2315,0.168594,9.056,2,0.313484,3.0000
90,0.241413,0.070974,0.113061,0.426015,10.8930,0.169535,11.179,1,0.251756,3.0000
91,0.303826,0.086043,0.128711,0.428577,10.1919,0.168884,10.657,3,0.317278,3.0000
92,0.298386,0.092453,0.139549,0.426787,11.6278,0.168134,12.906,2,0.321480,3.0000
93,0.350917,0.089208,0.139252,0.421997,11.0925,0.166281,11.596,3,0.365249,1.7939
94,0.334930,0.090405,0.149028,0.414620,12.0592,0.163333,10.637,2,0.351151,3.0000
95,0.289841,0.059671,0.097306,0.412056,10.8959,0.162382,6.115,2,0.295971,3.0000
96,0.254712,0.070892,0.116306,0.413561,13.4148,0.163330,5.648,2,0.240513,3.0000
97,0.191007,0.049562,0.078455,0.416609,14.4929,0.166136,3.489,1,0.207270,3.0000
98,0.182186,0.035309,0.054151,0.418595,15.5945,0.159147,4.220,3,0.188513,3.0000
99,0.231426,0.055823,0.091009,0.416880,15.9195,0.152802,5.855,3,0.230752,3.0000
100,0.214355,0.043865,0.070135,0.415081,15.5204,0.153992,5.316,4,0.234792,3.0000
101,0.209641,0.050722,0.083717,0.416058,14.5902,0.157964,5.223,3,0.203366,3.0000
102,0.215954,0.040944,0.067271,0.414077,13.0927,0.156739,5.653,4,0.206024,3.0000
103,0.200903,0.040900,0.068131,0.412779,12.8436,0.161757,5.123,3,0.202662,3.0000
104,0.197909,0.054523,0.092915,0.411089,13.1885,0.163267,6.354,3,0.195310,3.0000
105,0.163518,0.034823,0.059232,0.409443,11.6956,0.168144,3.793,2,0.211048,3.0000
106,0.185852,0.043480,0.070533,0.404357,9.9972,0.169533,3.806,2,0.250941,3.0000
107,0.207146,0.041115,0.060076,0.399838,9.5376,0.160939,1.464,3,0.195732,3.3462
108,0.255425,0.060364,0.089467,0.399489,13.9468,0.164222,1.006,2,0.220604,3.0000
109,0.156096,0.041110,0.057986,0.399585,18.4181,0.161365,2.535,2,0.247419,3.0000
110,0.106367,0.044524,0.058635,0.399123,20.3867,0.152007,5.417,2,0.204154,3.0000
111,0.192025,0.060630,0.083795,0.401751,19.7493,0.154105,7.967,3,0.208790,3.0000
112,0.267266,0.076555,0.109159,0.408991,14.3589,0.160611,7.702,3,0.275818,3.0000
113,0.252501,0.078458,0.116016,0.414402,10.1208,0.158544,8.540,3,0.256155,1.1679
114,0.253586,0.073574,0.113056,0.418905,8.8989,0.162271,8.380,3,0.251444,3.0000
115,0.209964,0.066558,0.104448,0.422265,8.8654,0.160934,7.428,3,0.208607,1.9158
