loop,decision,selected,report
loop_0001,REJECT,A,/pub0/muhammadf/Blender/docs/experiment_loop/turning/loops/loop_0001/report.md
loop_0002,KEEP,A,/pub0/muhammadf/Blender/docs/experiment_loop/turning/loops/loop_0002/report.md
loop_0003,KEEP,A,/pub0/muhammadf/Blender/docs/experiment_loop/turning/loops/loop_0003/report.md
loop_0004,KEEP,A,/pub0/muhammadf/Blender/docs/experiment_loop/turning/loops/loop_0004/report.md
loop_0005,KEEP,A,/pub0/muhammadf/Blender/docs/experiment_loop/turning/loops/loop_0005/report.md
loop_0006,REJECT,A,/pub0/muhammadf/Blender/docs/experiment_loop/turning/loops/loop_0006/report.md
loop_0007,REJECT,A,/pub0/muhammadf/Blender/docs/experiment_loop/turning/loops/loop_0007/report.md
loop_0008,REJECT,A,/pub0/muhammadf/Blender/docs/experiment_loop/turning/loops/loop_0008/report.md
