frame,qerr_max,qerr_mean,root_pos_err_m,root_ori_err_deg,root_z,tilt_deg,n_contacts,max_jvel,max_torque
0,0.008836,0.001259,0.000642,0.0248,0.170131,4.462,1,1.061,1.4421
1,0.014427,0.002173,0.001562,0.1187,0.169210,4.376,2,2.115,1.4142
2,0.018753,0.003160,0.002746,0.2787,0.168092,4.227,2,3.244,1.9078
3,0.025075,0.004249,0.004088,0.4528,0.166899,4.011,3,4.218,3.0000
4,0.030298,0.004740,0.005488,0.6938,0.165881,3.652,3,4.514,3.0000
5,0.029153,0.004947,0.006895,1.1314,0.165643,2.998,4,5.552,3.0000
6,0.027482,0.005219,0.008704,1.6681,0.165454,2.255,4,5.954,2.8933
7,0.026746,0.005351,0.010895,2.2568,0.165166,1.456,4,6.034,2.4239
8,0.025283,0.005377,0.013327,2.9115,0.164879,0.579,4,6.124,2.7751
9,0.022505,0.005257,0.016024,3.6392,0.164617,0.394,4,6.259,2.3992
10,0.023777,0.005055,0.019023,4.4045,0.164339,1.407,4,6.646,2.2400
11,0.025426,0.004481,0.022562,4.9579,0.164362,2.238,4,6.932,1.7855
12,0.023864,0.004272,0.026735,5.3807,0.164497,2.967,4,6.882,1.2449
13,0.018914,0.004139,0.031413,5.7050,0.164864,3.598,4,6.224,1.1273
14,0.011233,0.003846,0.036361,6.0053,0.165233,4.184,4,5.151,1.6730
15,0.008090,0.003254,0.041511,6.2507,0.165565,4.696,4,4.061,1.8087
16,0.007422,0.003016,0.046845,6.4505,0.165859,5.143,4,2.758,1.7925
17,0.009088,0.003196,0.052370,6.6176,0.166086,5.537,4,2.432,1.6648
18,0.014567,0.003463,0.057925,6.7866,0.166101,5.903,4,2.180,2.1541
19,0.021472,0.003856,0.063337,6.9934,0.166041,6.264,4,1.793,3.0000
20,0.030018,0.004528,0.068618,7.1955,0.165945,6.579,4,1.441,3.0000
21,0.042609,0.005924,0.073746,7.4047,0.165828,6.856,4,1.512,3.0000
22,0.057538,0.008052,0.078673,7.6360,0.165699,7.105,4,1.702,3.0000
23,0.067516,0.009919,0.083370,7.8983,0.165576,7.336,4,2.516,3.0000
24,0.073166,0.011207,0.087817,8.1950,0.165466,7.558,3,3.881,3.0000
25,0.077837,0.012116,0.092009,8.5301,0.165363,7.778,3,5.047,3.0000
26,0.083348,0.012970,0.095954,8.9085,0.165261,8.002,3,5.867,3.0000
27,0.090375,0.014015,0.099664,9.3371,0.165148,8.239,3,6.318,3.0000
28,0.099210,0.015077,0.103148,9.8218,0.165010,8.496,3,6.461,3.0000
29,0.110122,0.016168,0.106404,10.3618,0.164835,8.776,3,6.412,3.0000
30,0.123340,0.017244,0.109412,10.9475,0.164608,9.074,3,6.281,3.0000
31,0.139131,0.018258,0.112133,11.5632,0.164324,9.380,3,6.142,3.0000
32,0.156901,0.019039,0.114511,12.1929,0.163957,9.684,3,6.034,3.0000
33,0.176852,0.019518,0.116502,12.8196,0.163518,9.977,3,5.988,3.0000
34,0.199036,0.019635,0.118092,13.4326,0.162988,10.251,3,5.977,3.0000
35,0.223926,0.019380,0.119267,14.0236,0.162366,10.504,3,6.520,3.0000
36,0.253133,0.018881,0.120001,14.5887,0.161679,10.732,3,7.180,3.0000
37,0.281850,0.018531,0.120648,15.0275,0.161080,10.868,3,6.467,3.0000
38,0.301041,0.018410,0.121388,15.2912,0.160592,10.879,3,5.948,3.0000
39,0.312029,0.018475,0.122105,15.4068,0.160181,10.791,2,5.863,3.0000
40,0.315582,0.018428,0.122729,15.4172,0.159779,10.649,3,5.528,3.0000
41,0.308254,0.018132,0.123696,15.3412,0.160036,10.453,3,4.715,3.0000
42,0.286026,0.017771,0.125209,15.1909,0.161326,10.191,3,3.841,3.0000
43,0.250212,0.016681,0.126875,14.9799,0.163109,9.890,3,4.863,3.0000
44,0.196975,0.015126,0.128787,14.6767,0.165389,9.528,2,6.320,3.0000
45,0.126888,0.012649,0.130739,14.2781,0.168094,9.097,2,7.600,3.0000
46,0.055054,0.009265,0.132412,13.8075,0.170761,8.604,2,7.341,3.0000
47,0.018387,0.006131,0.133888,13.3754,0.172954,8.176,2,5.078,3.0000
48,0.038099,0.006939,0.135432,12.9675,0.174513,7.830,2,4.354,3.0000
49,0.061131,0.007632,0.137013,12.5599,0.175462,7.527,2,4.270,3.0000
50,0.067530,0.007836,0.138703,12.1721,0.175805,7.273,2,4.255,3.0000
51,0.055874,0.007358,0.140488,11.8078,0.175489,7.059,2,4.316,3.0000
