frame,qerr21_max,qerr21_mean,qerr_leg_mean,root_pos_err_m,root_ori_err_deg,root_z,tilt_deg,n_contacts,resid_max,max_torque
65,0.322374,0.078667,0.133919,0.314489,12.6917,0.191147,12.347,3,0.317865,3.0000
66,0.337842,0.072552,0.124206,0.316768,12.2735,0.190931,13.230,3,0.330673,3.0000
67,0.319301,0.071640,0.122950,0.316832,11.9450,0.191579,12.413,3,0.312889,3.0000
68,0.328601,0.071190,0.122745,0.318414,12.1274,0.191405,13.379,3,0.319511,3.0000
69,0.308997,0.072467,0.124909,0.319319,11.5728,0.191841,12.330,3,0.307711,3.0000
70,0.322707,0.071348,0.123608,0.322079,12.5458,0.188843,13.612,3,0.320708,1.3436
71,0.323552,0.076805,0.132809,0.321732,13.7742,0.185350,13.864,2,0.329051,0.5991
72,0.335464,0.075383,0.129553,0.325967,13.8367,0.180022,13.054,3,0.341271,1.2465
73,0.363545,0.074044,0.125823,0.328806,13.2148,0.175921,9.869,4,0.344361,3.0000
74,0.362846,0.093754,0.159763,0.329333,12.1186,0.182988,9.817,2,0.374847,3.0000
75,0.383349,0.087397,0.143666,0.334024,10.5827,0.179532,10.536,2,0.305441,3.0000
76,0.304063,0.081858,0.128376,0.340565,11.9360,0.174908,12.236,4,0.298465,3.0000
77,0.409422,0.108361,0.171520,0.340901,11.7654,0.175708,11.098,2,0.298395,3.0000
78,0.326781,0.097848,0.155535,0.344353,10.4702,0.177856,11.214,1,0.324983,3.0000
79,0.344761,0.099097,0.163711,0.347913,9.3413,0.166399,9.456,2,0.278905,3.0000
80,0.281289,0.079109,0.131601,0.348800,10.4632,0.154545,12.298,3,0.284319,3.0000
81,0.355153,0.071134,0.120918,0.353638,12.6841,0.161110,12.240,2,0.340139,3.0000
82,0.222206,0.075884,0.130250,0.360235,16.0193,0.161206,13.748,1,0.211023,3.0000
83,0.227357,0.072281,0.124029,0.364709,15.3221,0.157531,11.327,3,0.284308,3.0000
84,0.264124,0.052374,0.088960,0.367162,16.4122,0.158453,12.721,3,0.216190,3.0000
85,0.254443,0.073225,0.124243,0.369789,15.7176,0.155524,11.815,3,0.268263,3.0000
86,0.242958,0.060397,0.101813,0.381122,14.9817,0.162331,10.608,4,0.240414,3.0000
87,0.284512,0.067214,0.113016,0.394796,14.7962,0.164257,9.765,4,0.306474,3.0000
88,0.245239,0.066477,0.109139,0.402345,13.5419,0.167926,10.429,3,0.245399,3.0000
89,0.220201,0.074365,0.116052,0.407889,12.2184,0.168575,9.940,1,0.374233,3.0000
90,0.242931,0.068227,0.107375,0.413095,10.0553,0.158366,9.288,3,0.248461,3.0000
91,0.313120,0.085718,0.128421,0.416401,9.1552,0.157950,11.688,3,0.327003,3.0000
92,0.280933,0.094123,0.142985,0.419922,9.2173,0.164586,10.087,3,0.288441,1.7009
93,0.328715,0.095635,0.150270,0.420510,10.8386,0.165182,10.786,2,0.340098,2.6974
94,0.291445,0.084959,0.139743,0.418668,10.6199,0.169688,8.399,2,0.318096,3.0000
95,0.291169,0.076582,0.127115,0.415590,11.4660,0.162561,8.101,1,0.302388,3.0000
96,0.287163,0.059722,0.096915,0.407344,10.7470,0.157518,6.310,4,0.295491,3.0000
97,0.248729,0.051280,0.081621,0.398943,11.2412,0.154700,4.845,4,0.249106,2.5577
98,0.245756,0.049379,0.078484,0.392754,11.6707,0.156182,5.823,3,0.222529,3.0000
