frame,qerr21_max,qerr21_mean,qerr_leg_mean,root_pos_err_m,root_ori_err_deg,root_z,tilt_deg,n_contacts,resid_max,max_torque
65,0.379898,0.106695,0.183220,0.285698,22.6406,0.187592,15.976,3,0.374716,2.5652
66,0.395420,0.102978,0.177343,0.287133,22.4856,0.188556,16.277,3,0.395707,3.0000
67,0.383662,0.101573,0.175499,0.286618,22.5256,0.187676,15.838,3,0.375909,3.0000
68,0.381883,0.098918,0.171106,0.288699,22.0844,0.188918,16.811,3,0.373379,3.0000
69,0.352872,0.100241,0.173531,0.287682,21.9079,0.188036,16.491,3,0.350219,2.4690
70,0.354751,0.094544,0.163555,0.290093,21.6896,0.188539,16.594,3,0.357479,1.7712
71,0.381573,0.093194,0.161615,0.291480,21.8004,0.183209,16.227,3,0.354511,2.4329
72,0.379117,0.088536,0.152687,0.294097,21.5543,0.180366,16.772,3,0.365868,2.4976
73,0.373469,0.091831,0.156903,0.294290,20.5885,0.180760,14.842,2,0.350927,3.0000
74,0.500766,0.104886,0.180229,0.292102,20.1560,0.178188,14.310,3,0.472386,3.0000
75,0.444706,0.102692,0.170508,0.291384,19.5432,0.174488,14.989,3,0.348516,3.0000
76,0.402818,0.096440,0.153539,0.294699,17.4994,0.173333,14.474,3,0.423188,3.0000
77,0.383791,0.105128,0.165894,0.294046,18.1357,0.171799,15.579,2,0.333586,3.0000
78,0.314894,0.093424,0.148497,0.293585,17.1563,0.166381,14.433,2,0.322606,3.0000
79,0.334182,0.082075,0.134027,0.293771,17.9071,0.160583,13.813,3,0.319712,3.0000
80,0.319555,0.079166,0.131936,0.289656,19.6197,0.159360,14.589,4,0.318410,3.0000
81,0.375275,0.078851,0.134124,0.291763,20.6207,0.162272,13.725,3,0.352499,3.0000
82,0.303739,0.077699,0.133066,0.293714,22.1789,0.157706,15.834,3,0.318540,3.0000
83,0.360081,0.088945,0.153065,0.291320,21.9842,0.156319,16.460,2,0.369828,3.0000
84,0.398594,0.073371,0.126294,0.289350,19.8974,0.158110,14.449,2,0.397558,3.0000
85,0.380891,0.077011,0.131951,0.292184,18.7657,0.155858,12.854,3,0.379338,3.0000
86,0.335325,0.067625,0.114957,0.306693,19.0723,0.164056,13.927,4,0.319238,3.0000
87,0.334658,0.067977,0.114967,0.323209,19.3349,0.164639,13.146,3,0.356237,3.0000
88,0.337460,0.066903,0.110198,0.336097,17.8107,0.161696,13.344,4,0.359146,3.0000
89,0.274582,0.063524,0.096729,0.340159,18.4829,0.164006,12.857,3,0.280691,3.0000
90,0.302459,0.061470,0.096488,0.348410,18.6531,0.162615,12.402,3,0.309683,2.5548
91,0.263391,0.082760,0.122682,0.353883,19.4449,0.157090,10.753,3,0.314138,3.0000
92,0.262893,0.085281,0.126942,0.354703,19.7358,0.154303,9.312,3,0.317611,1.3074
93,0.276809,0.087595,0.136272,0.354278,20.0348,0.153058,7.912,4,0.323570,1.5046
94,0.438775,0.095269,0.157515,0.349965,21.0782,0.155016,7.156,2,0.344785,2.1129
95,0.317977,0.094952,0.159184,0.347292,22.7869,0.155671,7.309,2,0.320822,1.4723
96,0.389128,0.108646,0.182632,0.347829,24.0600,0.157542,6.919,2,0.405321,1.0391
97,0.455320,0.115722,0.194114,0.346728,24.7955,0.154267,5.539,2,0.465324,2.2144
98,0.527508,0.109464,0.183790,0.344428,26.0911,0.150448,6.850,4,0.533608,1.0663
99,0.479150,0.097204,0.163471,0.342911,25.5224,0.152955,4.718,3,0.471286,1.1403
100,0.499057,0.088860,0.149343,0.342998,24.2184,0.151607,5.737,4,0.490669,2.9122
101,0.447004,0.094737,0.160094,0.340401,23.4013,0.150327,7.810,3,0.433261,3.0000
102,0.458296,0.086581,0.146781,0.337138,22.4600,0.151602,5.939,4,0.451399,3.0000
103,0.363776,0.081583,0.139628,0.337264,20.6675,0.151658,6.332,3,0.352264,3.0000
104,0.360966,0.079604,0.136937,0.336747,19.3017,0.153033,7.210,4,0.351562,1.8679
105,0.398222,0.068690,0.118752,0.340356,17.0662,0.155311,5.617,4,0.401281,3.0000
106,0.337327,0.082942,0.140074,0.341311,16.2352,0.152753,6.334,2,0.337013,3.0000
107,0.316752,0.077096,0.123299,0.341003,14.9614,0.152621,6.320,4,0.290689,3.3056
108,0.296088,0.086362,0.134875,0.338861,14.3815,0.155114,5.639,3,0.265989,3.0000
109,0.333881,0.081156,0.127180,0.342096,11.8185,0.159074,3.826,3,0.315360,3.0000
110,0.234421,0.074047,0.108862,0.348372,11.7053,0.163352,3.900,3,0.213000,2.0094
111,0.192970,0.068197,0.098024,0.355499,13.0567,0.164790,7.285,3,0.184853,3.0000
112,0.272034,0.068673,0.095993,0.360191,13.0279,0.165187,10.016,3,0.281204,3.0000
113,0.277263,0.066506,0.094990,0.360633,10.6841,0.163930,9.374,3,0.276650,1.5182
114,0.239996,0.065659,0.098856,0.360802,10.8805,0.165994,9.493,3,0.223365,2.5356
115,0.220361,0.065258,0.101926,0.361883,13.1121,0.171019,10.021,3,0.223943,1.3842
116,0.260133,0.063572,0.102296,0.362880,13.4718,0.170572,9.161,2,0.269500,1.4845
