loop,change,decision,survival,vx,vx_std,joint_accel,roll_deg,rr_knee_sat_pct,slip
1,Signed backward reference; attempt03 warm start,REJECT,1.0,-0.13658323884010315,0.08047337085008621,9.163288116455078,7.727895259857178,7.916666666666666,0.2073746823179241
2,Lateral geometry trial; file-copy failure before training,FAILED,,,,,,,
3,Lateral excursion 1.00 → 0.70,KEEP,1.0,-0.15896360576152802,0.07588053494691849,8.696025848388672,6.581251621246338,7.152777777777778,0.20232170096131902
4,35% stance-shape blend (old contacts),REJECT,1.0,-0.1701423078775406,0.06905051320791245,9.375886917114258,7.139822483062744,8.26388888888889,0.19630980348210025
5,Correct contact timing + collision-hull contact measurement,KEEP,1.0,-0.17501063644886017,0.07540637254714966,7.898019790649414,5.473830223083496,4.513888888888888,0.16712407316907762
6,Lateral excursion 0.70 → 0.45,REJECT,1.0,-0.17517460882663727,0.07194668054580688,7.978640556335449,5.096805572509766,6.736111111111111,0.14851196600820243
7,20% stance-shape blend (corrected contacts),KEEP,1.0,-0.1830025315284729,0.06506049633026123,7.982559680938721,5.378929138183594,5.0,0.14705436042869843
8,Residual EMA alpha 0.30 → 0.20,REJECT,1.0,-0.18277236819267273,0.06612242013216019,7.734957218170166,5.4551239013671875,7.291666666666667,0.14408231292485407
